instance;objectif recherche local;temps(s);objectif GRASP;temps(s)
test100-SC(1).txt;91;0.001;85;0.005
test100-SC(2).txt;88;0.0;96;0.006
test100-SC(3).txt;90;0.0;88;0.005
test100-SC(4).txt;91;0.0;96;0.005
test100-SC(5).txt;89;0.001;84;0.004
test250-SC(1).txt;91;0.002;100;0.026
test250-SC(2).txt;90;0.002;84;0.025
test250-SC(3).txt;91;0.003;100;0.025
test250-SC(4).txt;91;0.002;81;0.025
test250-SC(5).txt;91;0.003;95;0.031
test500-SC(1).txt;91;0.013;95;0.102
test500-SC(2).txt;91;0.01;89;0.107
test500-SC(3).txt;91;0.009;86;0.111
test500-SC(4).txt;91;0.011;100;0.092
test500-SC(5).txt;105;0.01;105;0.107
test1000-SC(1).txt;91;0.046;92;0.362
test1000-SC(2).txt;91;0.044;99;0.405
test1000-SC(3).txt;134;0.04;134;0.462
test1000-SC(4).txt;181;0.029;173;0.349
test1000-SC(5).txt;219;0.04;219;0.362
test2000-SC(1).txt;91;0.165;90;1.514
test2000-SC(2).txt;182;0.205;182;1.872
test2000-SC(3).txt;274;0.139;274;1.462
test2000-SC(4).txt;360;0.117;360;1.312
test2000-SC(5).txt;444;0.156;444;1.473
